"169"," 11284 Belenus (1990 BA)","","","0.3374","1.74","1.99","311.7","171.17","216.1"
"170"," 11311 Peleus (1993 XN2)","","","0.5358","2.116","25.49","59.32","313.43","154.58"
"171"," 11398 (1998 YP11)","1.316","","0.3891","1.721","15.02","144.71","74.77","281.68"
"172"," 11405 (1999 CV3)","3.621","","0.3938","1.46","22.86","141.22","96.45","17.42"
"173"," 11500 Tomaiyowit (1989 UR)","0.738","","0.3558","1.08","10.31","234.38","289.52","314.93"
"174"," 11885 Summanus (1990 SS)","1.298","","0.4745","1.703","19.43","359.76","116.23","236.65"
"175"," 12538 (1998 OH)","1.663","","0.4059","1.542","24.54","220.69","321.79","163.01"
"176"," 12711 Tukmit (1991 BB)","","","0.2721","1.186","38.49","294.96","322.89","236.4"
"177"," 12923 Zephyr (1999 GK4)","2.06","","0.4927","1.962","5.31","168.08","147.21","194.88"
"178"," 13553 Masaakikoyama (1992 JE)","","","0.4636","2.19","5.87","193.44","110.02","94.84"
"179"," 13651 (1997 BR)","0.562","","0.3057","1.336","17.25","116.63","133.85","158.08"
"180"," 14402 (1991 DB)","0.6","","0.4017","1.715","11.41","158.14","51.53","141.06"
"181"," 14827 Hypnos (1986 JK)","0.9","","0.6643","2.851","1.97","57.73","238.64","103.4"
"182"," 15745 Yuliya (1991 PM5)","","","0.2554","1.72","14.43","132.57","140.63","99.22"
"183"," 15817 Lucianotesi (1994 QC)","","","0.1181","1.325","13.87","162.46","94.32","238.75"
"184"," 16064 Davidharvey (1999 RH27)","4.106","","0.5893","2.851","4.54","335.53","104.81","125.86"
"185"," 16636 (1993 QP)","","","0.4679","2.311","7.21","296.77","47.42","66.88"
"186"," 16657 (1993 UB)","","","0.4607","2.277","24.94","31.19","21.3","111.11"
"187"," 16816 (1997 UF9)","","","0.6037","1.443","25.92","37.14","158.0","323.06"
"188"," 16834 (1997 WU22)","1.87","","0.4422","1.468","16.0","260.75","334.4","109.14"
"189"," 16912 Rhiannon (1998 EP8)","","","0.2727","1.751","24.52","169.16","221.26","94.78"
"190"," 16960 (1998 QS52)","","","0.8591","2.2","17.52","260.15","243.25","69.45"
"191"," 17181 (1999 UM3)","","","0.674","2.37","10.65","113.56","36.77","23.99"
"192"," 17182 (1999 VU)","2.885","","0.5534","1.387","9.27","333.48","203.22","267.06"
"193"," 17188 (1999 WC2)","1.819","","0.6367","2.216","29.45","269.76","287.22","292.04"
"194"," 17274 (2000 LC16)","3.183","","0.5541","2.731","5.57","305.7","21.32","216.83"
"195"," 17511 (1992 QN)","","","0.3587","1.19","9.58","355.88","202.43","314.74"
"196"," 18106 Blume (2000 NX3)","","","0.512","2.443","4.22","109.17","234.94","215.94"
"197"," 18109 (2000 NG11)","","","0.3676","1.881","0.81","59.54","319.25","270.31"
"198"," 18172 (2000 QL7)","","","0.511","2.426","17.83","338.42","100.76","206.68"
"199"," 18736 (1998 NU)","","","0.4911","2.35","2.81","297.42","222.9","309.19"
"200"," 18882 (1999 YN4)","","","0.2321","1.685","36.81","291.67","242.67","230.13"
"201"," 19356 (1997 GH3)","0.91","","0.5578","2.512","3.01","186.46","334.14","93.24"
"202"," 19764 (2000 NF5)","1.572","","0.4447","2.233","1.33","281.38","9.87","224.5"
"203"," 20086 (1994 LW)","","","0.6287","3.168","21.69","236.77","57.96","186.31"
"204"," 20236 (1998 BZ7)","","","0.561","2.033","6.51","111.23","104.56","178.73"
"205"," 20255 (1998 FX2)","","","0.492","2.151","9.96","180.92","17.53","269.82"
"206"," 20425 (1998 VD35)","","","0.4766","1.565","6.99","227.24","296.32","234.13"
"207"," 20429 (1998 YN1)","","","0.4641","1.556","6.3","61.73","147.7","245.55"
"208"," 20460 Robwhiteley (1999 LO28)","2.716","","0.4118","1.877","33.95","279.99","283.74","136.82"
"209"," 20790 (2000 SE45)","","","0.5562","2.753","8.3","302.84","168.98","166.47"
"210"," 20826 (2000 UV13)","3.687","","0.6365","2.418","31.93","347.29","198.69","198.24"
"211"," 21088 Chelyabinsk (1992 BL2)","2.793","","0.2387","1.706","38.46","297.83","27.2","205.19"
"212"," 21277 (1996 TO5)","","","0.5204","2.378","20.95","167.33","250.2","314.31"
"213"," 21374 (1997 WS22)","","","0.1207","1.269","23.98","59.19","197.35","4.83"
